,Mkt-RF,SMB,HML,RF
201301,5.57,0.33,0.96,0
201302,1.29,-0.28,0.11,0
201303,4.03,0.81,-0.19,0
201304,1.55,-2.36,0.45,0
201305,2.8,1.73,2.63,0
201306,-1.2,1.33,0.03,0
201307,5.65,1.86,0.57,0
201308,-2.71,0.28,-2.69,0
201309,3.77,2.91,-1.22,0
201310,4.18,-1.56,1.25,0
201311,3.13,1.29,0.32,0
201312,2.81,-0.45,-0.02,0
201401,-3.32,0.9,-2.07,0
201402,4.65,0.37,-0.31,0
201403,0.43,-1.85,4.93,0
201404,-0.19,-4.2,1.17,0
201405,2.06,-1.88,-0.13,0
201406,2.61,3.08,-0.7,0
201407,-2.04,-4.29,0.03,0
201408,4.24,0.4,-0.45,0
201409,-1.97,-3.72,-1.34,0
201410,2.52,4.2,-1.81,0
201411,2.55,-2.06,-3.09,0
201412,-0.06,2.49,2.27,0
201501,-3.11,-0.55,-3.58,0
201502,6.13,0.61,-1.86,0
201503,-1.12,3.04,-0.37,0
201504,0.59,-3.03,1.82,0
201505,1.36,0.92,-1.14,0
201506,-1.53,2.9,-0.79,0
201507,1.54,-4.19,-4.13,0
201508,-6.04,0.33,2.77,0
201509,-3.07,-2.63,0.56,0
201510,7.75,-1.87,-0.46,0
201511,0.56,3.59,-0.42,0
201512,-2.17,-2.82,-2.61,0.01
201601,-5.77,-3.43,2.09,0.01
201602,-0.07,0.71,-0.57,0.02
201603,6.96,0.82,1.19,0.02
201604,0.91,0.74,3.28,0.01
201605,1.78,-0.18,-1.66,0.01
201606,-0.05,0.6,-1.48,0.02
201607,3.95,2.51,-1.27,0.02
201608,0.49,1.18,3.13,0.02
201609,0.25,2.13,-1.23,0.02
201610,-2.02,-4.42,4.12,0.02
201611,4.86,5.67,8.19,0.01
201612,1.81,0.08,3.56,0.03
201701,1.94,-1.14,-2.76,0.04
201702,3.57,-2.02,-1.68,0.04
201703,0.17,1.14,-3.32,0.03
201704,1.09,0.72,-2.1,0.05
201705,1.06,-2.52,-3.78,0.06
201706,0.78,2.23,1.48,0.06
201707,1.87,-1.46,-0.24,0.07
201708,0.16,-1.67,-2.09,0.09
201709,2.51,4.46,3.12,0.09
201710,2.25,-1.93,0.21,0.09
201711,3.12,-0.58,-0.08,0.08
201712,1.06,-1.32,0.05,0.09
201801,5.57,-3.15,-1.33,0.12
201802,-3.65,0.23,-1.07,0.11
201803,-2.35,4.05,-0.23,0.11
201804,0.28,1.14,0.54,0.14
201805,2.65,5.26,-3.18,0.14
201806,0.48,1.15,-2.33,0.14
201807,3.19,-2.23,0.47,0.16
201808,3.44,1.13,-3.98,0.16
201809,0.06,-2.28,-1.69,0.15
201810,-7.68,-4.77,3.44,0.19
201811,1.69,-0.68,0.28,0.18
201812,-9.57,-2.37,-1.85,0.2
201901,8.4,2.89,-0.46,0.21
201902,3.4,2.05,-2.67,0.18
201903,1.1,-3.03,-4.1,0.19
201904,3.97,-1.74,2.14,0.21
201905,-6.94,-1.31,-2.35,0.21
201906,6.93,0.27,-0.72,0.18
201907,1.19,-1.93,0.47,0.19
201908,-2.58,-2.37,-4.77,0.16
201909,1.43,-0.97,6.74,0.18
201910,2.06,0.29,-1.92,0.16
201911,3.87,0.79,-2,0.12
201912,2.77,0.73,1.77,0.14
202001,-0.11,-3.11,-6.23,0.13
202002,-8.13,1.07,-3.79,0.12
202003,-13.39,-4.86,-13.95,0.13
202004,13.65,2.47,-1.26,0
202005,5.58,2.47,-4.89,0.01
202006,2.46,2.7,-2.17,0.01
202007,5.77,-2.32,-1.37,0.01
202008,7.63,-0.22,-2.96,0.01
202009,-3.63,0.04,-2.68,0.01
202010,-2.1,4.37,4.22,0.01
202011,12.47,5.81,2.13,0.01
202012,4.63,4.89,-1.5,0.01
202101,-0.03,7.34,2.97,0.01
202102,2.78,2.06,7.17,0
202103,3.08,-2.37,7.39,0
202104,4.93,-3.2,-0.95,0
202105,0.29,-0.25,7.09,0
202106,2.75,1.7,-7.83,0
202107,1.27,-3.99,-1.78,0
202108,2.91,-0.43,-0.15,0
202109,-4.37,0.72,5.09,0
202110,6.65,-2.34,-0.49,0
202111,-1.55,-1.32,-0.45,0
202112,3.1,-1.65,3.26,0.01
202201,-6.25,-5.93,12.75,0
202202,-2.29,2.21,3.08,0
202203,3.05,-1.6,-1.8,0.01
202204,-9.46,-1.4,6.17,0.01
202205,-0.34,-1.83,8.39,0.03
202206,-8.43,2.1,-5.98,0.06
202207,9.57,2.8,-4.1,0.08
202208,-3.77,1.37,0.3,0.19
202209,-9.35,-0.79,0.06,0.19
202210,7.83,0.09,8.05,0.23
202211,4.6,-3.4,1.38,0.29
202212,-6.41,-0.68,1.32,0.33
202301,6.65,5.03,-4.08,0.35
